Object_Number, X1, Y1, X2, Y2, Face_Area, Eye_Area_Ratio
343, 446, 172, 607, 333, 25600.00, 0.18
344, 446, 172, 608, 334, 25921.00, 0.06
345, 447, 173, 606, 332, 24964.00, 0.05
346, 447, 173, 606, 332, 24964.00, 0.05
347, 448, 173, 607, 332, 24964.00, 0.17
348, 448, 174, 608, 334, 25281.00, 0.05
349, 449, 175, 608, 334, 24964.00, 0.05
350, 448, 175, 607, 334, 24964.00, 0.27
351, 449, 175, 607, 333, 24649.00, 0.27
352, 449, 174, 609, 334, 25281.00, 0.14
353, 449, 174, 609, 334, 25281.00, 0.11
354, 449, 175, 608, 334, 24964.00, 0.07
355, 448, 174, 609, 335, 25600.00, 0.05
356, 448, 174, 609, 335, 25600.00, 0.11
357, 447, 174, 608, 335, 25600.00, 0.22
358, 447, 173, 609, 335, 25921.00, 0.10
359, 447, 173, 609, 335, 25921.00, 0.10
360, 446, 173, 609, 336, 26244.00, 0.11
361, 449, 175, 609, 335, 25281.00, 0.05
362, 450, 174, 610, 334, 25281.00, 0.08
363, 449, 174, 609, 334, 25281.00, 0.13
364, 448, 173, 610, 335, 25921.00, 0.11
365, 447, 174, 609, 336, 25921.00, 0.04
366, 447, 174, 609, 336, 25921.00, 0.04
367, 447, 173, 610, 336, 26244.00, 0.15
368, 446, 173, 610, 337, 26569.00, 0.10
369, 448, 174, 611, 337, 26244.00, 0.03
370, 449, 174, 611, 336, 25921.00, 0.18
371, 449, 174, 611, 336, 25921.00, 0.18
372, 450, 175, 610, 335, 25281.00, 0.24
373, 449, 174, 611, 336, 25921.00, 0.11
374, 450, 175, 611, 336, 25600.00, 0.06
375, 448, 174, 611, 337, 26244.00, 0.15
376, 450, 174, 612, 336, 25921.00, 0.08
377, 448, 173, 612, 337, 26569.00, 0.06
378, 450, 174, 612, 336, 25921.00, 0.13
379, 449, 174, 613, 338, 26569.00, 0.08
380, 450, 174, 612, 336, 25921.00, 0.08
381, 451, 175, 612, 336, 25600.00, 0.23
382, 450, 175, 611, 336, 25600.00, 0.22
383, 449, 174, 612, 337, 26244.00, 0.08
384, 450, 174, 612, 336, 25921.00, 0.21
385, 449, 173, 613, 337, 26569.00, 0.16
386, 449, 174, 613, 338, 26569.00, 0.10
387, 449, 175, 612, 338, 26244.00, 0.13
388, 451, 175, 612, 336, 25600.00, 0.09
389, 451, 175, 612, 336, 25600.00, 0.09
390, 450, 175, 612, 337, 25921.00, 0.08
391, 450, 175, 612, 337, 25921.00, 0.08
392, 450, 174, 612, 336, 25921.00, 0.12
393, 449, 173, 613, 337, 26569.00, 0.08
394, 450, 175, 612, 337, 25921.00, 0.11
395, 450, 175, 612, 337, 25921.00, 0.12
396, 450, 175, 612, 337, 25921.00, 0.07
397, 449, 174, 612, 337, 26244.00, 0.09
398, 451, 175, 612, 336, 25600.00, 0.09
399, 449, 174, 613, 338, 26569.00, 0.11
400, 450, 175, 612, 337, 25921.00, 0.08
401, 449, 174, 612, 337, 26244.00, 0.10
402, 450, 175, 612, 337, 25921.00, 0.11
403, 450, 174, 612, 336, 25921.00, 0.09
404, 449, 174, 612, 337, 26244.00, 0.08
405, 449, 174, 612, 337, 26244.00, 0.09
406, 450, 175, 612, 337, 25921.00, 0.09
407, 451, 175, 612, 336, 25600.00, 0.08
408, 451, 176, 612, 337, 25600.00, 0.04
409, 452, 175, 613, 336, 25600.00, 0.10
410, 450, 174, 613, 337, 26244.00, 0.09
411, 449, 174, 613, 338, 26569.00, 0.20
412, 450, 175, 612, 337, 25921.00, 0.08
413, 450, 175, 612, 337, 25921.00, 0.10
414, 451, 175, 612, 336, 25600.00, 0.28
415, 450, 175, 613, 338, 26244.00, 0.11
416, 452, 176, 612, 336, 25281.00, 0.19
417, 451, 175, 613, 337, 25921.00, 0.12
418, 451, 175, 612, 336, 25600.00, 0.12
419, 450, 174, 612, 336, 25921.00, 0.09
420, 449, 174, 612, 337, 26244.00, 0.16
421, 453, 177, 611, 335, 24649.00, 0.10
422, 451, 176, 612, 337, 25600.00, 0.14
423, 450, 176, 612, 338, 25921.00, 0.08
424, 450, 176, 611, 337, 25600.00, 0.10
425, 450, 176, 612, 338, 25921.00, 0.30
426, 450, 176, 611, 337, 25600.00, 0.11
427, 451, 177, 610, 336, 24964.00, 0.11
428, 449, 176, 611, 338, 25921.00, 0.19
429, 449, 177, 612, 340, 26244.00, 0.08
430, 449, 176, 613, 340, 26569.00, 0.22
431, 449, 177, 612, 340, 26244.00, 0.19
432, 453, 179, 612, 338, 24964.00, 0.26
433, 452, 176, 613, 337, 25600.00, 0.22
434, 453, 176, 614, 337, 25600.00, 0.08
435, 452, 175, 614, 337, 25921.00, 0.07
436, 455, 175, 616, 336, 25600.00, 0.04
437, 458, 176, 618, 336, 25281.00, 0.12
438, 460, 176, 618, 334, 24649.00, 0.08
439, 462, 175, 620, 333, 24649.00, 0.03
440, 468, 177, 621, 330, 23104.00, 0.08
441, 470, 177, 623, 330, 23104.00, 0.04
442, 473, 177, 625, 329, 22801.00, 0.05
443, 475, 178, 626, 329, 22500.00, 0.05
444, 476, 179, 626, 329, 22201.00, 0.06
445, 478, 178, 627, 327, 21904.00, 0.13
446, 481, 180, 628, 327, 21316.00, 0.14
447, 483, 181, 628, 326, 20736.00, 0.12
448, 484, 182, 628, 326, 20449.00, 0.14
449, 484, 183, 628, 327, 20449.00, 0.06
450, 486, 184, 629, 327, 20164.00, 0.12
451, 487, 184, 630, 327, 20164.00, 0.10
452, 483, 182, 630, 329, 21316.00, 0.32
453, 483, 184, 629, 330, 21025.00, 0.10
454, 481, 183, 629, 331, 21609.00, 0.11
455, 483, 184, 628, 329, 20736.00, 0.05
456, 481, 183, 628, 330, 21316.00, 0.04
457, 481, 184, 628, 331, 21316.00, 0.10
458, 481, 184, 628, 331, 21316.00, 0.05
459, 479, 183, 627, 331, 21609.00, 0.09
460, 479, 184, 628, 333, 21904.00, 0.18
461, 476, 182, 629, 335, 23104.00, 0.04
462, 477, 184, 627, 334, 22201.00, 0.21
463, 472, 182, 627, 337, 23716.00, 0.05
464, 475, 183, 626, 334, 22500.00, 0.11
465, 475, 183, 626, 334, 22500.00, 0.12
466, 474, 182, 627, 335, 23104.00, 0.10
467, 473, 182, 627, 336, 23409.00, 0.09
468, 474, 183, 627, 336, 23104.00, 0.11
469, 475, 183, 627, 335, 22801.00, 0.08
470, 472, 182, 627, 337, 23716.00, 0.10
471, 472, 182, 626, 336, 23409.00, 0.09
472, 472, 182, 626, 336, 23409.00, 0.09
473, 472, 183, 626, 337, 23409.00, 0.12
474, 470, 182, 626, 338, 24025.00, 0.10
475, 471, 186, 627, 342, 24025.00, 0.00
476, 467, 187, 627, 347, 25281.00, 0.00
